iter,time,reward,steps,convergence
215,10.810536000000148,37.0,56.0,1.7415775170428822
216,7.562901000000011,43.0,59.0,1.793540057419193
217,5.175911000000033,62.0,40.0,1.833835555385609
218,10.098300000000116,60.0,42.0,1.8115489394826227
219,19.698704999999926,50.0,52.0,1.8773344113970758
220,4.860411999999981,69.0,33.0,1.8580153062903562
221,9.580121000000164,58.0,44.0,1.8702165813648235
222,6.407178000000124,68.0,34.0,1.9349351097821326
223,9.973613999999964,63.0,39.0,1.885897147173668
224,11.00913300000017,39.0,45.0,1.9039002354952046
225,8.206497000000201,70.0,32.0,1.890972009701899
226,8.545626999999723,51.0,51.0,1.884319969823332
227,7.639624999999928,62.0,40.0,1.897391657667302
228,12.644535999999817,68.0,34.0,1.9724379266688061
229,12.610279000000002,67.0,35.0,1.9045407213080394
230,1.3814000000000881,58.0,44.0,1.9273939283581882
231,2.8796739999998877,44.0,49.0,1.8816547573711802
232,2.052390000000237,60.0,42.0,1.8641878001277774
233,2.696943000000118,58.0,44.0,1.8605944310689182
234,2.2363880000000336,54.0,39.0,1.945580457227443
235,2.6813269999999,54.0,39.0,2.061972121338016
236,2.29913100000001,68.0,34.0,1.9547230901815147
237,1.8390550000000339,51.0,51.0,1.9253726597075045
238,2.168165999999694,59.0,43.0,1.9218312951427556
239,1.462360000000107,66.0,36.0,1.9934932015079276
240,1.3672659999999226,58.0,35.0,1.9803626740112314
241,1.725639000000001,54.0,39.0,1.9849641648608725
242,2.3567040000003203,37.0,56.0,2.008068606738057
243,4.913376000000191,60.0,42.0,2.0535014960810187
244,1.6386429999997176,45.0,48.0,2.0515095467702595
245,2.3632980000001247,64.0,38.0,1.9737703508713147
246,2.121884999999768,62.0,40.0,2.087976059351051
247,4.937900999999911,29.0,46.0,2.1167309470566
248,3.375802999999955,39.0,63.0,2.122403955692936
249,5.010870000000001,64.0,38.0,2.080864780244378
250,2.4908820000000276,56.0,46.0,2.099260707896768
251,2.9848510000003436,57.0,45.0,2.128478048546996
252,2.205437000000199,62.0,40.0,2.039065275631404
253,2.0471030000002166,62.0,40.0,2.0048981069029828
254,3.1319760000001473,70.0,32.0,1.91169448430025
255,1.6254959999999485,47.0,46.0,1.893149084949369
256,5.464233999999735,63.0,39.0,1.8205451892941276
257,2.535589999999921,62.0,40.0,1.8088451141277055
258,3.654701999999954,49.0,44.0,1.7471237701963467
259,1.8627059999998252,63.0,39.0,1.7740610868593456
260,4.760222000000258,67.0,35.0,1.7336325506199095
261,2.902039999999939,70.0,32.0,1.6649526350308448
262,3.6096469999997716,54.0,39.0,1.7503970041709274
263,1.5724329999997622,49.0,35.0,1.7483402278724838
264,7.933410999999779,52.0,41.0,1.8412644175059392
265,1.3431659999998402,64.0,38.0,1.8589602053531287
266,3.0865919999998326,59.0,43.0,1.8835611510050654
267,1.8252150000002132,69.0,33.0,1.8393282705276852
268,5.339640000000312,63.0,39.0,1.8931823239668097
